date,sales,day_of_week,month,year,is_weekend,season
2023-07-09,200,Sunday,7,2023,1,Summer
2023-07-10,148,Monday,7,2023,0,Summer
2023-07-11,148,Tuesday,7,2023,0,Summer
2023-07-12,148,Wednesday,7,2023,0,Summer
2023-07-13,155,Thursday,7,2023,0,Summer
2023-07-14,179,Friday,7,2023,0,Summer
2023-07-15,230,Saturday,7,2023,1,Summer
2023-07-16,214,Sunday,7,2023,1,Summer
2023-07-17,159,Monday,7,2023,0,Summer
2023-07-18,149,Tuesday,7,2023,0,Summer
2023-07-19,161,Wednesday,7,2023,0,Summer
2023-07-20,149,Thursday,7,2023,0,Summer
2023-07-21,166,Friday,7,2023,0,Summer
2023-07-22,220,Saturday,7,2023,1,Summer
2023-07-23,182,Sunday,7,2023,1,Summer
2023-07-24,149,Monday,7,2023,0,Summer
2023-07-25,152,Tuesday,7,2023,0,Summer
2023-07-26,165,Wednesday,7,2023,0,Summer
2023-07-27,155,Thursday,7,2023,0,Summer
2023-07-28,181,Friday,7,2023,0,Summer
2023-07-29,235,Saturday,7,2023,1,Summer
2023-07-30,180,Sunday,7,2023,1,Summer
2023-07-31,154,Monday,7,2023,0,Summer
2023-08-01,96,Tuesday,8,2023,0,Summer
2023-08-02,78,Wednesday,8,2023,0,Summer
2023-08-03,99,Thursday,8,2023,0,Summer
2023-08-04,110,Friday,8,2023,0,Summer
2023-08-05,131,Saturday,8,2023,1,Summer
2023-08-06,122,Sunday,8,2023,1,Summer
2023-08-07,108,Monday,8,2023,0,Summer
